indicator_id,country_id,year,type,metadata
SAP.2.G1,BGD,2011,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2011,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2012,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2012,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2013,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2013,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2014,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2014,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2015,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2015,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2016,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2016,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2017,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2017,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2018,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2018,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2019,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2019,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2020,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2020,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2021,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2021,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2022,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2022,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2023,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2023,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2024,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2024,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1,BGD,2025,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1,BGD,2025,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,1970,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1970,Source:Data sources,NA
SAP.2.G1.F,BGD,1971,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1971,Source:Data sources,NA
SAP.2.G1.F,BGD,1972,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1972,Source:Data sources,NA
SAP.2.G1.F,BGD,1973,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1973,Source:Data sources,NA
SAP.2.G1.F,BGD,1974,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1974,Source:Data sources,NA
SAP.2.G1.F,BGD,1975,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1975,Source:Data sources,NA
SAP.2.G1.F,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1976,Source:Data sources,NA
SAP.2.G1.F,BGD,1977,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1977,Source:Data sources,NA
SAP.2.G1.F,BGD,1978,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1978,Source:Data sources,NA
SAP.2.G1.F,BGD,1979,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1979,Source:Data sources,NA
SAP.2.G1.F,BGD,1980,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1980,Source:Data sources,NA
SAP.2.G1.F,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1981,Source:Data sources,NA
SAP.2.G1.F,BGD,1982,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1982,Source:Data sources,NA
SAP.2.G1.F,BGD,1983,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1983,Source:Data sources,NA
SAP.2.G1.F,BGD,1984,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1984,Source:Data sources,NA
SAP.2.G1.F,BGD,1985,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1985,Source:Data sources,NA
SAP.2.G1.F,BGD,1986,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1986,Source:Data sources,NA
SAP.2.G1.F,BGD,1987,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1987,Source:Data sources,NA
SAP.2.G1.F,BGD,1988,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1988,Source:Data sources,NA
SAP.2.G1.F,BGD,1989,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1989,Source:Data sources,NA
SAP.2.G1.F,BGD,1990,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1990,Source:Data sources,NA
SAP.2.G1.F,BGD,1991,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1991,Source:Data sources,NA
SAP.2.G1.F,BGD,1992,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1992,Source:Data sources,NA
SAP.2.G1.F,BGD,1993,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1993,Source:Data sources,NA
SAP.2.G1.F,BGD,1994,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1994,Source:Data sources,NA
SAP.2.G1.F,BGD,1995,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1995,Source:Data sources,NA
SAP.2.G1.F,BGD,1996,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1996,Source:Data sources,NA
SAP.2.G1.F,BGD,1997,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1997,Source:Data sources,NA
SAP.2.G1.F,BGD,1998,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1998,Source:Data sources,NA
SAP.2.G1.F,BGD,1999,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,1999,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2000,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2000,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2001,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2001,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2002,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2002,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2003,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2003,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2004,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2004,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2005,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2006,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2006,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2007,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2007,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2008,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2009,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2010,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2010,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2011,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2011,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2012,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2012,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2013,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2013,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2014,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2014,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2015,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2015,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2016,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2016,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2017,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2017,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2018,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2018,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2019,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2019,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2020,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2020,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2021,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2021,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2022,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2022,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2023,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2023,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2024,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2024,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.F,BGD,2025,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.F,BGD,2025,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,1970,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1970,Source:Data sources,NA
SAP.2.G1.M,BGD,1971,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1971,Source:Data sources,NA
SAP.2.G1.M,BGD,1972,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1972,Source:Data sources,NA
SAP.2.G1.M,BGD,1973,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1973,Source:Data sources,NA
SAP.2.G1.M,BGD,1974,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1974,Source:Data sources,NA
SAP.2.G1.M,BGD,1975,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1975,Source:Data sources,NA
SAP.2.G1.M,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1976,Source:Data sources,NA
SAP.2.G1.M,BGD,1977,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1977,Source:Data sources,NA
SAP.2.G1.M,BGD,1978,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1978,Source:Data sources,NA
SAP.2.G1.M,BGD,1979,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1979,Source:Data sources,NA
SAP.2.G1.M,BGD,1980,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1980,Source:Data sources,NA
SAP.2.G1.M,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1981,Source:Data sources,NA
SAP.2.G1.M,BGD,1982,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1982,Source:Data sources,NA
SAP.2.G1.M,BGD,1983,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1983,Source:Data sources,NA
SAP.2.G1.M,BGD,1984,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1984,Source:Data sources,NA
SAP.2.G1.M,BGD,1985,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1985,Source:Data sources,NA
SAP.2.G1.M,BGD,1986,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1986,Source:Data sources,NA
SAP.2.G1.M,BGD,1987,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1987,Source:Data sources,NA
SAP.2.G1.M,BGD,1988,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1988,Source:Data sources,NA
SAP.2.G1.M,BGD,1989,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1989,Source:Data sources,NA
SAP.2.G1.M,BGD,1990,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1990,Source:Data sources,NA
SAP.2.G1.M,BGD,1991,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1991,Source:Data sources,NA
SAP.2.G1.M,BGD,1992,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1992,Source:Data sources,NA
SAP.2.G1.M,BGD,1993,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1993,Source:Data sources,NA
SAP.2.G1.M,BGD,1994,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1994,Source:Data sources,NA
SAP.2.G1.M,BGD,1995,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1995,Source:Data sources,NA
SAP.2.G1.M,BGD,1996,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1996,Source:Data sources,NA
SAP.2.G1.M,BGD,1997,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1997,Source:Data sources,NA
SAP.2.G1.M,BGD,1998,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1998,Source:Data sources,NA
SAP.2.G1.M,BGD,1999,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,1999,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2000,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2000,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2001,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2001,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2002,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2002,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2003,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2003,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2004,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2004,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2005,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2006,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2006,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2007,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2007,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2008,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2009,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2010,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2010,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2011,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
SAP.2.G1.M,BGD,2011,Source:Data sources,Country's submission to UIS SFE
SAP.2.G1.M,BGD,2012,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
